department,category,month,budget,actual,notes
Operations,Travel,2026-01,7500,7307.02,
Operations,Software,2026-01,9500,10552.53,
Operations,Training,2026-01,17000,20052.32,
Operations,Office,2026-01,26500,29258.97,
Operations,Consulting,2026-01,29500,30023.41,
Finance,Travel,2026-01,38500,34029.61,
Finance,Software,2026-01,36000,34448.44,
Finance,Training,2026-01,13000,14012.07,
Finance,Office,2026-01,37500,,
Finance,Consulting,2026-01,10500,11379.47,
HR,Travel,2026-01,13000,10162.45,
HR,Software,2026-01,36000,35578.93,
HR,Training,2026-01,8000,6474.19,
HR,Office,2026-01,23500,18852.41,
HR,Consulting,2026-01,36000,34522.92,
IT,Travel,2026-01,37500,36863.60,
IT,Software,2026-01,40000,42367.99,
IT,Training,2026-01,10000,9916.60,
IT,Office,2026-01,23000,24982.06,
IT,Consulting,2026-01,27500,25317.44,
Marketing,Travel,2026-01,7000,6359.00,
Marketing,Software,2026-01,15000,14443.78,
Marketing,Training,2026-01,25000,23827.48,
Marketing,Office,2026-01,11500,13008.79,
Marketing,Consulting,2026-01,32500,36823.77,
Operations,Travel,2026-02,6000,6761.89,
Operations,Software,2026-02,19500,22413.89,
Operations,Training,2026-02,7000,6775.24,
Operations,Office,2026-02,35000,37874.52,
Operations,Consulting,2026-02,21000,,
Finance,Travel,2026-02,31000,27270.86,
Finance,Software,2026-02,24000,19807.55,
FINANCE,Training,2026-02,16500,14071.98,
Finance,Office,2026-02,2500,2539.51,
Finance,Consulting,2026-02,26000,28580.68,
HR,Travel,2026-02,2500,2118.11,
HR,Software,2026-02,2500,,
HR,Training,2026-02,2500,2426.38,
HR,Office,2026-02,17500,13213.80,
HR,Consulting,2026-02,28500,26327.72,
IT,Travel,2026-02,6000,5828.67,
IT,Software,2026-02,34000,37628.05,
IT,Training,2026-02,24000,23543.38,
IT,Office,2026-02,27500,26333.20,
IT,Consulting,2026-02,35000,38847.11,
MARKETING,Travel,2026-02,20000,22928.80,
Marketing,Software,2026-02,6000,5906.20,
Marketing,Training,2026-02,9000,10225.66,
Marketing,Office,2026-02,21500,23877.37,
Marketing,Consulting,2026-02,20500,23836.36,
Operations,Travel,2026-03,35500,,
Operations,Software,2026-03,27500,28022.08,
OPERATIONS,Training,2026-03,38000,48502.37,
Operations,Office,2026-03,34500,41474.44,
Operations,Consulting,2026-03,10500,12244.42,
Finance,Travel,2026-03,8500,7773.66,
Finance,Software,2026-03,6000,5145.99,
Finance,Training,2026-03,16000,13898.72,
Finance,Office,2026-03,33500,36963.72,
FINANCE,Consulting,2026-03,13000,11953.92,
HR,Travel,2026-03,7500,6112.88,
HR,Software,2026-03,21500,18996.42,
HR,Training,2026-03,9500,7340.61,
HR,Office,2026-03,7500,6065.53,
hr,Consulting,2026-03,2000,1944.46,
IT,Travel,2026-03,26500,29337.09,
IT,Software,2026-03,3000,3123.32,
IT,Training,2026-03,7500,7354.36,
it,Office,2026-03,25000,24814.70,
IT,Consulting,2026-03,3000,2882.98,
Marketing,Travel,2026-03,14500,16541.82,
Marketing,Software,2026-03,37500,34711.55,
Marketing,Training,2026-03,29500,26639.46,
Marketing,Office,2026-03,10000,9759.42,
Marketing,Consulting,2026-03,23500,27200.06,
Operations,Travel,2026-04,13500,16253.87,
Operations,Software,2026-04,37500,44718.61,
Operations,Training,2026-04,25500,26451.59,
Operations,Office,2026-04,23000,27432.61,
Operations,Consulting,2026-04,31000,39247.21,
FINANCE,Travel,2026-04,8000,8674.80,
Finance,Software,2026-04,37000,37512.89,
Finance,Training,2026-04,15000,14521.29,
Finance,Office,2026-04,38500,35296.58,
Finance,Consulting,2026-04,3500,3852.08,
HR,Travel,2026-04,36500,29282.03,
HR,Software,2026-04,37500,34566.73,
HR,Training,2026-04,38000,31085.67,
HR,Office,2026-04,24000,18716.10,
HR,Consulting,2026-04,9500,7924.72,
IT,Travel,2026-04,21000,,
IT,Software,2026-04,32500,29446.09,
IT,Training,2026-04,19500,18921.94,
it,Office,2026-04,32000,32473.40,
IT,Consulting,2026-04,11000,9416.36,
Marketing,Travel,2026-04,5000,5474.11,
Marketing,Software,2026-04,18500,21512.97,
marketing,Training,2026-04,3500,,
Marketing,Office,2026-04,32000,34013.15,
Marketing,Consulting,2026-04,36500,37898.40,
Operations,Travel,2026-05,37500,45604.35,
Operations,Software,2026-05,18500,20313.87,
Operations,Training,2026-05,10500,13140.21,
Operations,Office,2026-05,15500,16615.45,
Operations,Consulting,2026-05,2000,2058.93,
Finance,Travel,2026-05,26000,26956.04,
Finance,Software,2026-05,21000,19432.01,
Finance,Training,2026-05,31500,29729.10,
Finance,Office,2026-05,30000,32919.65,
Finance,Consulting,2026-05,12000,10899.45,
HR,Travel,2026-05,24000,,
HR,Software,2026-05,32000,28158.61,
hr,Training,2026-05,37000,34819.08,
hr,Office,2026-05,32500,,
HR,Consulting,2026-05,27000,26176.75,
IT,Travel,2026-05,9000,8281.24,
IT,Software,2026-05,31000,27199.35,
IT,Training,2026-05,29500,32997.49,
IT,Office,2026-05,12000,12553.23,
IT,Consulting,2026-05,40000,34062.66,
Marketing,Travel,2026-05,14500,13338.74,
Marketing,Software,2026-05,33500,36281.25,
Marketing,Training,2026-05,20500,23009.54,
Marketing,Office,2026-05,14500,15761.60,
Marketing,Consulting,2026-05,24500,22758.78,
Operations,Travel,2026-06,11000,13406.20,
Operations,Software,2026-06,7000,8631.28,
operations,Training,2026-06,10500,10088.65,
Operations,Office,2026-06,34000,39761.18,
operations,Consulting,2026-06,19500,22674.85,
Finance,Travel,2026-06,4500,4162.61,
Finance,Software,2026-06,30000,31031.39,
Finance,Training,2026-06,26000,22472.44,
Finance,Office,2026-06,17000,17722.55,
Finance,Consulting,2026-06,14000,,
HR,Travel,2026-06,17500,15910.32,
HR,Software,2026-06,38000,30677.45,
HR,Training,2026-06,23000,22765.77,
HR,Office,2026-06,25500,23423.27,
HR,Consulting,2026-06,17500,17004.31,
IT,Travel,2026-06,9000,8887.99,
IT,Software,2026-06,13000,11330.31,
IT,Training,2026-06,17500,15670.29,
IT,Office,2026-06,26500,26080.60,
IT,Consulting,2026-06,26000,28530.24,
Marketing,Travel,2026-06,32000,33354.68,
Marketing,Software,2026-06,17500,17362.53,
Marketing,Training,2026-06,34000,34550.47,
Marketing,Office,2026-06,29000,34641.55,
Marketing,Consulting,2026-06,8500,9371.06,
HR,Travel,2026-06,17500,15910.32,
Marketing,Training,2026-01,25000,23827.48,
Operations,Consulting,2026-04,31000,39247.21,
HR,Travel,2026-03,7500,6112.88,
